AS,,,,March 2025,ALWAYS ASK FOR STOCKS AVAILABILITY,,,
1YR,PRO & MOBO - AMD ,R5 5600 (tray) ,ASROCK B550M PRO SE - AMD SF,PRO & MOBO - AMD  - R5 5600 (tray)  ASROCK B550M PRO SE - AMD SF,"₱10,200","₱10,100.00","₱11,424.00",0
1YR,PRO & MOBO - INTEL,i3-10105 (tray),ASROCK H510M H2 M.2 SE,PRO & MOBO - INTEL - i3-10105 (tray) ASROCK H510M H2 M.2 SE,"₱8,200","₱8,150.00","₱9,184.00",0
1YR,PRO & MOBO - INTEL,I3-12100 (BOX),MSI PRO H610M-S DDR4,PRO & MOBO - INTEL - I3-12100 (BOX) MSI PRO H610M-S DDR4,"₱9,650","₱9,600.00","₱10,808.00",0
1YR,PRO & MOBO - INTEL,i3-12100 (TRAY),ASROCK H610M-HVS/M.2- CL2913,PRO & MOBO - INTEL - i3-12100 (TRAY) ASROCK H610M-HVS/M.2- CL2913,"₱9,500","₱9,450.00","₱10,640.00",1
1YR,PRO & MOBO - INTEL,i5-10400 (BOX),ASROCK H510M H2 M.2 SE,PRO & MOBO - INTEL - i5-10400 (BOX) ASROCK H510M H2 M.2 SE,"₱10,100",,"₱11,312.00",0
1YR,PRO & MOBO - INTEL,i5-10400 (TRAY),ASROCK H510M H2 M.2 SE - ISF,PRO & MOBO - INTEL - i5-10400 (TRAY) ASROCK H510M H2 M.2 SE - ISF,"₱10,200","₱10,100.00","₱11,424.00",0
1YR,PRO & MOBO - INTEL,i5-11400 (tray),ASROCK H510M H2 M2 SE - ISF,PRO & MOBO - INTEL - i5-11400 (tray) ASROCK H510M H2 M2 SE - ISF,"₱10,100","₱10,050.00","₱11,312.00",0
1YR,PRO & MOBO - INTEL,i5-11400 (tray),ASUS PRIME H510M-K R2.0 - ISF,PRO & MOBO - INTEL - i5-11400 (tray) ASUS PRIME H510M-K R2.0 - ISF,"₱10,700","₱10,650.00","₱11,984.00",0
1YR,PRO & MOBO - INTEL,I5-12400 (BOX),MSI PRO H610M-S DDR4,PRO & MOBO - INTEL - I5-12400 (BOX) MSI PRO H610M-S DDR4,"₱10,900","₱10,850.00","₱12,208.00",0
1YR,PRO & MOBO - INTEL,I5-12400 (BOX),ASROCK H610M-HVS/M.2,PRO & MOBO - INTEL - I5-12400 (BOX) ASROCK H610M-HVS/M.2,"₱10,900","₱10,850.00","₱12,208.00",0
1YR,PRO & MOBO - INTEL,i5-13400 (tray),ASROCK H610M-HVS/M2 - ISF 12TH GEN,PRO & MOBO - INTEL - i5-13400 (tray) ASROCK H610M-HVS/M2 - ISF 12TH GEN,"₱14,600","₱14,580.00","₱16,352.00",0
1YR,PRO & MOBO - INTEL,i7-12700 (tray),MSI PRO H610M-E - CL2913,PRO & MOBO - INTEL - i7-12700 (tray) MSI PRO H610M-E - CL2913,"₱18,000","₱17,950.00","₱20,160.00",0
1YR,PRO & MOBO - INTEL,i7-12700 (tray),MSI PRO H610M-S DDR4 - 12TH GEN ISF,PRO & MOBO - INTEL - i7-12700 (tray) MSI PRO H610M-S DDR4 - 12TH GEN ISF,"₱17,200","₱17,100.00","₱19,264.00",0
1YR,PRO & MOBO - INTEL,i7-12700 (tray),ASROCK H610M-HVS/M2 - 12TH GEN ISF,PRO & MOBO - INTEL - i7-12700 (tray) ASROCK H610M-HVS/M2 - 12TH GEN ISF,"₱17,100","₱17,080.00","₱19,152.00",0
1YR,PRO & MOBO - INTEL,I5-12400 (BOX),MSI PRO Z790-A WIFI DDR4,PRO & MOBO - INTEL - I5-12400 (BOX) MSI PRO Z790-A WIFI DDR4,,-₱20.00,₱0.00,0
1YR,PRO & MOBO - NO COOLER,R7 7700X,ASROCK B550M PRO RS WIFI,PRO & MOBO - NO COOLER - R7 7700X ASROCK B550M PRO RS WIFI,"₱30,400","₱30,300.00","₱34,048.00",0
1YR,PROCIE ONLY,AMD,R3 3200G (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R3 3200G (TRAY) WITH HEATSINK FAN ,"₱3,470","₱3,450.00","₱3,886.40",0
1YR,PROCIE ONLY,AMD,R5 5600G (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R5 5600G (TRAY) WITH HEATSINK FAN ,"₱7,000","₱6,980.00","₱7,840.00",0
1YR,PROCIE ONLY,AMD,R5 5600GT (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R5 5600GT (TRAY) WITH HEATSINK FAN ,"₱6,730","₱6,710.00","₱7,537.60",0
1YR,PROCIE ONLY,AMD,R5 5600X (box) WITH WRAITH STEALTH COOLER,PROCIE ONLY - AMD R5 5600X (box) WITH WRAITH STEALTH COOLER,"₱8,460","₱8,410.00","₱9,475.20",0
1YR,PROCIE ONLY,AMD,R5 5600X (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R5 5600X (TRAY) WITH HEATSINK FAN ,"₱6,300","₱6,280.00","₱7,056.00",0
1YR,PROCIE ONLY,AMD,R5 7600X (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R5 7600X (TRAY) WITH HEATSINK FAN ,"₱11,100","₱11,080.00","₱12,432.00",0
1YR,PROCIE ONLY,AMD,R7 4750G (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R7 4750G (TRAY) WITH HEATSINK FAN ,"₱7,850","₱7,830.00","₱8,792.00",0
1YR,PROCIE ONLY,AMD,R7 5700G (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R7 5700G (TRAY) WITH HEATSINK FAN ,"₱8,900","₱8,880.00","₱9,968.00",0
1YR,PROCIE ONLY,AMD,R7 5700X (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R7 5700X (TRAY) WITH HEATSINK FAN ,"₱8,200","₱8,180.00","₱9,184.00",0
1YR,PROCIE ONLY,AMD,R7 5800X (TRAY) WITH HEATSINK FAN ,PROCIE ONLY - AMD R7 5800X (TRAY) WITH HEATSINK FAN ,"₱11,950","₱11,930.00","₱13,384.00",0
1YR,PROCIE ONLY,INTEL,i7-11700 (plastic blister) + ISF,PROCIE ONLY - INTEL i7-11700 (plastic blister) + ISF,"₱13,500","₱13,480.00","₱15,120.00",0
1YR,PROCIE ONLY,AMD,R7 5700X3D 8 CORE 16 THREADS 3.0/4.1 GHZ AM4 W/OUT COOLER,PROCIE ONLY - AMD R7 5700X3D 8 CORE 16 THREADS 3.0/4.1 GHZ AM4 W/OUT COOLER,,-₱20.00,₱0.00,0
1YR,PROCIE ONLY,AMD,R5 5600X (TRAY) NO COOLER,PROCIE ONLY - AMD R5 5600X (TRAY) NO COOLER,"₱5,600","₱5,580.00","₱6,272.00",0
1YR,PSU,INPLAY,AK-400  400WATTS SEMI- RATED,PSU - INPLAY AK-400  400WATTS SEMI- RATED,₱550,₱530.00,₱616.00,0
1YR,PSU - TR,ACER,AC550 550W 80+ BRONZE,PSU - TR - ACER AC550 550W 80+ BRONZE,"₱1,650","₱1,630.00","₱1,848.00",4
1YR,PSU - TR,ACER,AC650 650W 80+ BRONZE,PSU - TR - ACER AC650 650W 80+ BRONZE,"₱2,220","₱2,200.00","₱2,486.40",(1)
1YR,PSU - TR,ACER,AC1000 1000W 80+ GOLD,PSU - TR - ACER AC1000 1000W 80+ GOLD,"₱2,800","₱2,780.00","₱3,136.00",0
1YR,PSU - TR,COOLER MASTER,MWE 80+ BRONZE V3 750watts,PSU - TR - COOLER MASTER MWE 80+ BRONZE V3 750watts,"₱3,900","₱3,850.00","₱4,368.00",1
1YR,PSU - TR,COOLER MASTER,MWE 80+ BRONZE V3 650watts,PSU - TR - COOLER MASTER MWE 80+ BRONZE V3 650watts,"₱3,500","₱3,450.00","₱3,920.00",0
1YR,PSU - TR,COOLER MASTER,MWE 80+ GOLD V2 FM 850watts,PSU - TR - COOLER MASTER MWE 80+ GOLD V2 FM 850watts,"₱6,800","₱6,780.00","₱7,616.00",0
1YR,PSU - TR,CORSAIR,CX550 80+ BRONZE 550watts,PSU - TR - CORSAIR CX550 80+ BRONZE 550watts,"₱2,850","₱2,800.00","₱3,192.00",0
1YR,PSU - TR,CORSAIR,CX650 80+ BRONZE 650watts,PSU - TR - CORSAIR CX650 80+ BRONZE 650watts,"₱3,500","₱3,450.00","₱3,920.00",1
1YR,PSU - TR,CORSAIR,CV750 80+ BRONZE 750watts,PSU - TR - CORSAIR CV750 80+ BRONZE 750watts,"₱3,690","₱3,640.00","₱4,132.80",0
1YR,PSU - TR,CORSAIR,RM750E 80+ GOLD FULLY MODULAR 750watts,PSU - TR - CORSAIR RM750E 80+ GOLD FULLY MODULAR 750watts,"₱6,900","₱6,880.00","₱7,728.00",0
1YR,PSU - TR,CORSAIR,RM850E 80+ GOLD FULLY MODULAR 850watts,PSU - TR - CORSAIR RM850E 80+ GOLD FULLY MODULAR 850watts,"₱7,450","₱7,430.00","₱8,344.00",0
1YR,PSU - TR,DEEP COOL,DE-600 v2 600watts,PSU - TR - DEEP COOL DE-600 v2 600watts,"₱2,050","₱2,000.00","₱2,296.00",0
1YR,PSU - TR,KEYTECH,BTS-550 BRONZE 550WATTS,PSU - TR - KEYTECH BTS-550 BRONZE 550WATTS,"₱1,080","₱1,070.00","₱1,209.60",2
1YR,PSU - TR,KEYTECH,BTS-650 BRONZE 650WATTS,PSU - TR - KEYTECH BTS-650 BRONZE 650WATTS,"₱1,300","₱1,290.00","₱1,456.00",2
1YR,PSU - TR,KEYTECH,BTS-750 BRONZE 750WATTS,PSU - TR - KEYTECH BTS-750 BRONZE 750WATTS,"₱1,550","₱1,530.00","₱1,736.00",1
1YR,PSU - TR,REDRAGON,(GC-PS014W/RGPS-650SFX) 80+ GOLD FULL MOD (white) 650watts,PSU - TR - REDRAGON (GC-PS014W/RGPS-650SFX) 80+ GOLD FULL MOD (white) 650watts,"₱5,600","₱5,550.00","₱6,272.00",0
1YR,PSU - TR,REDRAGON,RGPS-700W 80+ BRONZE FULL MODULAR,PSU - TR - REDRAGON RGPS-700W 80+ BRONZE FULL MODULAR,"₱3,900","₱3,880.00","₱4,368.00",0
1YR,PSU - TR,GIGABYTE,P550SS SILVER WHITE (ICE),PSU - TR - GIGABYTE P550SS SILVER WHITE (ICE),"₱2,300",,"₱2,576.00",0
1YR,PSU - TR,GIGABYTE,P550SS SILVER,PSU - TR - GIGABYTE P550SS SILVER,"₱2,250",,"₱2,520.00",1
1YR,PSU - TR,INPLAY,GS550 ULTRA BLACK ATX POWERSUPPLY 550W 80+ BRONZE RGB,PSU - TR - INPLAY GS550 ULTRA BLACK ATX POWERSUPPLY 550W 80+ BRONZE RGB,"₱1,150","₱1,130.00","₱1,288.00",10
1YR,PSU - TR,INPLAY,GS650 ULTRA BLACK ATX POWERSUPPLY 650W 80+ BRONZE RGB,PSU - TR - INPLAY GS650 ULTRA BLACK ATX POWERSUPPLY 650W 80+ BRONZE RGB,"₱1,350","₱1,330.00","₱1,512.00",9
1YR,PSU - TR,CORSAIR,CX750 80+ BRONZE 750watts,PSU - TR - CORSAIR CX750 80+ BRONZE 750watts,"₱3,600","₱3,550.00","₱4,032.00",0
6MOS,PSU GENERIC,CVS,MXT-800 LONG FLAT CABLE BLACK 800watts,PSU GENERIC - CVS MXT-800 LONG FLAT CABLE BLACK 800watts,₱450,₱450.00,₱504.00,17
6MOS,PSU GENERIC,KEYTECH,VP700L,PSU GENERIC - KEYTECH VP700L,₱450,₱430.00,₱504.00,8
6MOS,PSU GENERIC,KEYTECH,THUNDERBOLT 800watts,PSU GENERIC - KEYTECH THUNDERBOLT 800watts,₱450,₱430.00,₱504.00,0
6MOS,PSU GENERIC,YGT ,TOP ONE-2 KY-700 ATX 700watts,PSU GENERIC - YGT  TOP ONE-2 KY-700 ATX 700watts,₱450,₱430.00,₱504.00,0
1YR,RAM 2666mhz,SKIHOTAR,DDR4 4gb,RAM 2666mhz - SKIHOTAR DDR4 4gb,₱700,₱700.00,₱784.00,0
1YR,RAM 3200MHZ,KINGSPEC,DDR4 8GB - RGB,RAM 3200MHZ - KINGSPEC DDR4 8GB - RGB,"₱1,350","₱1,300.00","₱1,512.00",0
1YR,RAM 3200MHZ,KINGSTON,FURY BEAST DDR4 16gb (single stick),RAM 3200MHZ - KINGSTON FURY BEAST DDR4 16gb (single stick),"₱1,450","₱1,420.00","₱1,624.00",7
1YR,RAM 3200MHZ,NEO FORZA,FAYE DDR4 16GB (2X8GB) 3200 NON RGB w/ HS,RAM 3200MHZ - NEO FORZA FAYE DDR4 16GB (2X8GB) 3200 NON RGB w/ HS,"₱1,650","₱1,600.00","₱1,848.00",0
1YR,RAM 3200MHZ,SKIHOTAR,DDR4 8GB,RAM 3200MHZ - SKIHOTAR DDR4 8GB,"₱1,150","₱1,100.00","₱1,288.00",0
1YR,RAM 3200MHZ,TEAM ELITE,PLUS GOLD DDR4  8GB,RAM 3200MHZ - TEAM ELITE PLUS GOLD DDR4  8GB,₱850,₱800.00,₱952.00,0
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 16gb-kit (2x8gb) black,RAM 3200MHZ - TFORCE Delta RGB DDR4 16gb-kit (2x8gb) black,"₱2,800","₱2,750.00","₱3,136.00",1
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 16gb-kit (2x8gb) white,RAM 3200MHZ - TFORCE Delta RGB DDR4 16gb-kit (2x8gb) white,"₱2,800","₱2,750.00","₱3,136.00",1
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 32gb-kit (2x16gb) black,RAM 3200MHZ - TFORCE Delta RGB DDR4 32gb-kit (2x16gb) black,"₱3,900","₱3,850.00","₱4,368.00",1
1YR,RAM 3200MHZ,TFORCE,Delta RGB DDR4 32gb-kit (2x16gb) white,RAM 3200MHZ - TFORCE Delta RGB DDR4 32gb-kit (2x16gb) white,"₱3,900","₱3,850.00","₱4,368.00",0
1YR,RAM 3200MHZ,KINGSTON,FURY BEAST DDR4 8gb ,RAM 3200MHZ - KINGSTON FURY BEAST DDR4 8gb ,₱850,₱830.00,₱952.00,8
1YR,RAM 3600MHZ,TFORCE,DDR4 DARKZA 16GB (2x8gb),RAM 3600MHZ - TFORCE DDR4 DARKZA 16GB (2x8gb),"₱2,400","₱2,350.00","₱2,688.00",1
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 16gb kit (2x8gb) black,RAM 3600MHZ - TFORCE Delta RGB DDR4 16gb kit (2x8gb) black,"₱3,000","₱2,950.00","₱3,360.00",0
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 16gb kit (2x8gb) white,RAM 3600MHZ - TFORCE Delta RGB DDR4 16gb kit (2x8gb) white,"₱3,000","₱2,950.00","₱3,360.00",1
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 32gb kit (2x16gb) black,RAM 3600MHZ - TFORCE Delta RGB DDR4 32gb kit (2x16gb) black,"₱4,000","₱3,950.00","₱4,480.00",0
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 32gb kit (2x16gb) white,RAM 3600MHZ - TFORCE Delta RGB DDR4 32gb kit (2x16gb) white,"₱4,000","₱3,950.00","₱4,480.00",0
1YR,RAM 3600MHZ,TFORCE,Delta RGB DDR4 (SINGLE STICK) 32gb white,RAM 3600MHZ - TFORCE Delta RGB DDR4 (SINGLE STICK) 32gb white,"₱4,800","₱4,780.00","₱5,376.00",0
1YR,RAM 3600MHZ,LEXAR,ARES RGB DDR4 32GB KIT (2X16GB) BLACK,RAM 3600MHZ - LEXAR ARES RGB DDR4 32GB KIT (2X16GB) BLACK,"₱4,250","₱4,230.00","₱4,760.00",1
1YR,RAM 5200MHZ,KINGSTON,FURY BEAST DDR5 16gb (single stick),RAM 5200MHZ - KINGSTON FURY BEAST DDR5 16gb (single stick),"₱3,200","₱3,150.00","₱3,584.00",0
1YR,RAM 5200MHZ,TFORCE,Delta RGB DDR5 BLACK 32GB (2X16GB),RAM 5200MHZ - TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB),"₱6,400","₱6,380.00","₱7,168.00",0
1YR,RAM 5200MHZ,TFORCE,Delta RGB DDR5 WHITE 32GB (2X16GB),RAM 5200MHZ - TFORCE Delta RGB DDR5 WHITE 32GB (2X16GB),"₱6,400","₱6,380.00","₱7,168.00",0
1YR,RAM 5600MHZ,TFORCE,Delta RGB DDR5 32GB (2X16GB) black,RAM 5600MHZ - TFORCE Delta RGB DDR5 32GB (2X16GB) black,"₱6,400","₱6,350.00","₱7,168.00",0
1YR,RAM 5600MHZ,TFORCE,Delta RGB DDR5 32GB (2X16GB) white,RAM 5600MHZ - TFORCE Delta RGB DDR5 32GB (2X16GB) white,"₱6,400","₱6,380.00","₱7,168.00",0
1YR,RAM 6000MHZ,GSKILL,TRIDENT Z5 NEO RGB 2X16GB BLK DDR5,RAM 6000MHZ - GSKILL TRIDENT Z5 NEO RGB 2X16GB BLK DDR5,"₱7,250","₱7,230.00","₱8,120.00",0
1YR,RAM 6400MHZ,TFORCE,Delta RGB DDR5 BLACK 32GB (2X16GB),RAM 6400MHZ - TFORCE Delta RGB DDR5 BLACK 32GB (2X16GB),"₱6,950","₱6,940.00","₱7,784.00",0
1YR,RAM DDR3,KINGSTON,1600MHZ 8gb,RAM DDR3 - KINGSTON 1600MHZ 8gb,₱630,₱610.00,₱705.60,2
1YR,RAM DDR3,ST MAGIC,1600MHZ 8gb,RAM DDR3 - ST MAGIC 1600MHZ 8gb,₱500,₱480.00,₱560.00,0
1YR,RAM DDR3,STMAGIC,1600MHZ 8gb,RAM DDR3 - STMAGIC 1600MHZ 8gb,,-₱20.00,₱0.00,0
1YR,RAM SODIMM,KINGSPEC,SODIMM-DDR3 1600MHZ 4gb ,RAM SODIMM - KINGSPEC SODIMM-DDR3 1600MHZ 4gb ,₱750,₱700.00,₱840.00,7
1YR,RAM SODIMM,LEXAR,SODIMM-DDR4 3200MHZ 8gb ,RAM SODIMM - LEXAR SODIMM-DDR4 3200MHZ 8gb ,"₱1,100","₱1,080.00","₱1,232.00",0
1YR,RAM SODIMM,NEO FORZA,SODIMM-DDR4 3200MHZ 8gb ,RAM SODIMM - NEO FORZA SODIMM-DDR4 3200MHZ 8gb ,"₱1,200","₱1,180.00","₱1,344.00",0
1YR,RAM SODIMM,SKIHOTAR,SODIMM-DDR3 1600MHZ 4gb ,RAM SODIMM - SKIHOTAR SODIMM-DDR3 1600MHZ 4gb ,₱750,₱700.00,₱840.00,0
1YR,RAM SODIMM,STORM,SODIMM-DDR3 1600MHZ 8gb,RAM SODIMM - STORM SODIMM-DDR3 1600MHZ 8gb,₱750,₱740.00,₱840.00,0
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR4 3200MHZ 16gb,RAM SODIMM - TEAM GROUP ELITE DDR4 3200MHZ 16gb,"₱2,050","₱2,030.00","₱2,296.00",1
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR4 3200MHZ 32gb,RAM SODIMM - TEAM GROUP ELITE DDR4 3200MHZ 32gb,"₱3,500","₱3,450.00","₱3,920.00",0
1YR,RAM SODIMM,TEAM GROUP,ELITE DDR5 5600MHZ 16gb,RAM SODIMM - TEAM GROUP ELITE DDR5 5600MHZ 16gb,"₱2,750","₱2,700.00","₱3,080.00",0
1WK,SLEEVES,JUNGLE LEOPARD,MODULE EXTENSION CABLE (WHITE),SLEEVES - JUNGLE LEOPARD MODULE EXTENSION CABLE (WHITE),₱650,₱630.00,₱728.00,0
1WK,SLEEVES,MMA,R400 R600 EXTENSION / SLEEVES LED,SLEEVES - MMA R400 R600 EXTENSION / SLEEVES LED,₱950,₱930.00,"₱1,064.00",1
N/A,SOFTWARES,MS OFFICE PROFESSIONAL PLUS,2021 - PRO KEY,SOFTWARES - MS OFFICE PROFESSIONAL PLUS 2021 - PRO KEY,"₱1,900","₱1,880.00","₱2,128.00",0
N/A,SOFTWARES,MS OFFICE PROFESSIONAL PLUS,2021,SOFTWARES - MS OFFICE PROFESSIONAL PLUS 2021,"₱2,100","₱2,050.00","₱2,352.00",0
N/A,SOFTWARES,WINDOWS 10,PRO COA STICKER ,SOFTWARES - WINDOWS 10 PRO COA STICKER ,₱800,₱780.00,₱896.00,0
N/A,SOFTWARES,WINDOWS 10,CD envelope,SOFTWARES - WINDOWS 10 CD envelope,"₱1,000",₱980.00,"₱1,120.00",5
N/A,SOFTWARES,WINDOWS 11,PRO COA STICKER ,SOFTWARES - WINDOWS 11 PRO COA STICKER ,"₱1,000",₱950.00,"₱1,120.00",0
N/A,SOFTWARES,WINDOWS 11,FPP (BOX TYPE),SOFTWARES - WINDOWS 11 FPP (BOX TYPE),,,₱0.00,0
N/A,SOFTWARES,WINDOWS 11 pro,CD - envelope,SOFTWARES - WINDOWS 11 pro CD - envelope,"₱1,000",₱980.00,"₱1,120.00",(2)
1WK,SOUND CARD,VENTION,VENTION VAB-S17-B USB SOUND CARD,SOUND CARD - VENTION VENTION VAB-S17-B USB SOUND CARD,₱350,₱330.00,₱392.00,5
3MOS,SPEAKER,CREATIVE,PEBBLES SE BLACK,SPEAKER - CREATIVE PEBBLES SE BLACK,"₱1,250","₱1,230.00","₱1,400.00",0
3MOS,SPEAKER,CREATIVE,PEBBLES SE WHITE,SPEAKER - CREATIVE PEBBLES SE WHITE,"₱1,250","₱1,230.00","₱1,400.00",0
3MOS,SPEAKER,CREATIVE,PEBBLE PLUS,SPEAKER - CREATIVE PEBBLE PLUS,"₱2,500","₱2,450.00","₱2,800.00",0
3MOS,SPEAKER,CREATIVE,PEBBLE X,SPEAKER - CREATIVE PEBBLE X,"₱5,150","₱5,000.00","₱5,768.00",0
1YR,SPEAKER,F&D,PA100 WITH MIC,SPEAKER - F&D PA100 WITH MIC,"₱6,800","₱6,750.00","₱7,616.00",0
1YR,SPEAKER,HP,DHE 60035 ,SPEAKER - HP DHE 60035 ,"₱1,000","₱1,000.00","₱1,120.00",0
1WK,SPEAKER,HP,BTS02 BLUETOOTH,SPEAKER - HP BTS02 BLUETOOTH,₱480,₱450.00,₱537.60,0
1YR,SPEAKER,JBL,CLIP 5,SPEAKER - JBL CLIP 5,"₱3,000","₱3,000.00","₱3,360.00",2
1YR,SPEAKER,JBL,ENCORE ESSENTIAL (NO MIC),SPEAKER - JBL ENCORE ESSENTIAL (NO MIC),"₱12,800","₱12,800.00","₱14,336.00",1
1YR,SPEAKER,JBL,ENCORE WITH 2 MICS,SPEAKER - JBL ENCORE WITH 2 MICS,"₱18,000","₱18,000.00","₱20,160.00",0
1YR,SPEAKER,JBL,FLIP 6,SPEAKER - JBL FLIP 6,"₱5,450","₱5,450.00","₱6,104.00",0
1YR,SPEAKER,JBL,GO 4,SPEAKER - JBL GO 4,"₱2,300","₱2,300.00","₱2,576.00",2
1YR,SPEAKER,JBL,HARMAN PARTYBOX 1000 BLACK,SPEAKER - JBL HARMAN PARTYBOX 1000 BLACK,"₱46,000","₱46,000.00","₱51,520.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 120 CLUB AS BLACK,SPEAKER - JBL HARMAN PARTYBOX 120 CLUB AS BLACK,"₱17,500","₱17,500.00","₱19,600.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 120 CLUB AS WHITE,SPEAKER - JBL HARMAN PARTYBOX 120 CLUB AS WHITE,"₱18,500","₱18,480.00","₱20,720.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 310  STAGE AS BLACK,SPEAKER - JBL HARMAN PARTYBOX 310  STAGE AS BLACK,"₱22,200","₱22,200.00","₱24,864.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 320  STAGE AS BLACK,SPEAKER - JBL HARMAN PARTYBOX 320  STAGE AS BLACK,"₱27,500","₱27,500.00","₱30,800.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 320  STAGE AS WHITE,SPEAKER - JBL HARMAN PARTYBOX 320  STAGE AS WHITE,"₱28,500","₱28,480.00","₱31,920.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX 710 AS BLACK,SPEAKER - JBL HARMAN PARTYBOX 710 AS BLACK,"₱34,500","₱34,500.00","₱38,640.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX OTG ESSENTIAL,SPEAKER - JBL HARMAN PARTYBOX OTG ESSENTIAL,"₱18,000","₱18,000.00","₱20,160.00",0
1YR,SPEAKER,JBL,HARMAN PARTYBOX ULTIMATE,SPEAKER - JBL HARMAN PARTYBOX ULTIMATE,,,₱0.00,0
1YR,SPEAKER,JBL,HARMAN SPINNER BT BLACK,SPEAKER - JBL HARMAN SPINNER BT BLACK,,,₱0.00,0
10MOS,SPEAKER,LECOO,DS103 BLACK,SPEAKER - LECOO DS103 BLACK,"₱1,300","₱1,250.00","₱1,456.00",0
10MOS,SPEAKER,LECOO,DS123 WIRED DESKTOP BLACK,SPEAKER - LECOO DS123 WIRED DESKTOP BLACK,₱380,₱330.00,₱425.60,0
1YR,SPEAKER,MMA,M1407 WHITE RGB,SPEAKER - MMA M1407 WHITE RGB,₱370,₱370.00,₱414.40,0
1YR,SPEAKER,MMA,M1407 BLACK RGB,SPEAKER - MMA M1407 BLACK RGB,₱350,₱350.00,₱392.00,0
10MOS,SPEAKER,RED DRAGON,(GS550) ORPHEUS,SPEAKER - RED DRAGON (GS550) ORPHEUS,₱900,₱850.00,"₱1,008.00",0
,SPEAKER,RED DRAGON,(GS817) SURGE FROSTBITE SOUND BAR BLACK,SPEAKER - RED DRAGON (GS817) SURGE FROSTBITE SOUND BAR BLACK,"₱2,300",,"₱2,576.00",0
,SPEAKER,RED DRAGON,(GS580) CALLIOPE BLACK,SPEAKER - RED DRAGON (GS580) CALLIOPE BLACK,₱780,₱750.00,₱873.60,2
,SPEAKER,RED DRAGON,(GS570) DARKNETS BLACK,SPEAKER - RED DRAGON (GS570) DARKNETS BLACK,"₱1,250","₱1,200.00","₱1,400.00",0
2WKS,SPEAKER,RED DRAGON,(GS512) DORA BLACK,SPEAKER - RED DRAGON (GS512) DORA BLACK,"₱1,350","₱1,330.00","₱1,512.00",0
2WKS,SPEAKER MINI,INPLAY,MS001 black,SPEAKER MINI - INPLAY MS001 black,₱250,₱250.00,₱280.00,2
2WKS,SPEAKER MINI,INPLAY,MS003 black RGB,SPEAKER MINI - INPLAY MS003 black RGB,₱480,₱460.00,₱537.60,0
2WKS,SPEAKER MINI,INPLAY,MS006 black RGB,SPEAKER MINI - INPLAY MS006 black RGB,₱380,₱360.00,₱425.60,0
2WKS,SPEAKER MINI,INPLAY,MS246 black RGB,SPEAKER MINI - INPLAY MS246 black RGB,₱300,₱280.00,₱336.00,0
2WKS,SPEAKER MINI,INPLAY,MS280 black - RGB bluetooth ,SPEAKER MINI - INPLAY MS280 black - RGB bluetooth ,₱580,₱560.00,₱649.60,5
1YR,SSD 2.5-inch,APACER,AS350 SATAIII 512GB,SSD 2.5-inch - APACER AS350 SATAIII 512GB,"₱1,750","₱1,730.00","₱1,960.00",0
1YR,SSD 2.5-inch,KINGMAX,120GB,SSD 2.5-inch - KINGMAX 120GB,₱720,₱700.00,₱806.40,3
1YR,SSD 2.5-inch,KINGMAX,480GB,SSD 2.5-inch - KINGMAX 480GB,"₱1,700","₱1,680.00","₱1,904.00",5
1YR,SSD 2.5-inch,KINGSTON,240GB,SSD 2.5-inch - KINGSTON 240GB,"₱1,050","₱1,030.00","₱1,176.00",0
1YR,SSD 2.5-inch,KINGSTON,120GB,SSD 2.5-inch - KINGSTON 120GB,₱800,₱800.00,₱896.00,0
1YR,SSD 2.5-inch,LEXAR,NS10 LITE 120GB,SSD 2.5-inch - LEXAR NS10 LITE 120GB,₱780,₱760.00,₱873.60,10
1YR,SSD 2.5-inch,LEXAR,NS100 2TB,SSD 2.5-inch - LEXAR NS100 2TB,"₱5,600","₱5,580.00","₱6,272.00",0
